FLOPS,500,1500,2500,3500,4500
-O0 no ivdep,1509.246, 867.520 ,617.250, 643.345, 669.915
-O1 no ivdep,1733.047, 1011.398 ,554.524, 660.033, 666.747
-O2 no ivdep,1544.145,1031.802,734.320, 676.571, 668.225
-O2 with all options,1634.011,1080.683,736.670,670.830,680.862
-O3 no ivdep,1735.870,1006.860,725.870,669.939,673.264
-O3 with all options,1803.604,1121.668,738.185,684.674,672.716
-Ofast no ivdep,1725.244,1017.175,729.510,642.080,657.733
-xhost no ivdep,1739.627,1078.392, 731.017,670.828, 673.603
initial,426.535,303.406,231.540,251.755,215.306
